n;effect;power;lcl;ucl;nspecies_p1;nspecies_p2;increase
40;0,182321556793955;0,23;0,151731611301048;0,324858732775103;2;2,40;0,20
40;0,223143551314210;0,34;0,248223501544844;0,441533267750959;2;2,50;0,25
40;0,262364264467491;0,50;0,398321129503301;0,601678870496699;2;2,60;0,30
40;0,300104592450338;0,56;0,457187497063318;0,659163976276542;2;2,70;0,35
40;0,336472236621213;0,61;0,507314479632364;0,705989585146583;2;2,80;0,40
40;0,371563556432483;0,68;0,579233138368377;0,769780083238423;2;2,90;0,45
40;0,405465108108164;0,78;0,686080346213682;0,856696423250185;2;3,00;0,50
40;0,182321556793954;0,18;0,110311229153261;0,269477085966812;3;3,60;0,20
40;0,223143551314210;0,34;0,248223501544844;0,441533267750959;3;3,75;0,25
40;0,262364264467491;0,44;0,340836023723458;0,542812502936682;3;3,90;0,30
40;0,300104592450338;0,54;0,437411579866471;0,640156647020588;3;4,05;0,35
40;0,336472236621213;0,53;0,427581484890045;0,630594835805605;3;4,20;0,40
40;0,371563556432483;0,66;0,558466732249041;0,751776498455156;3;4,35;0,45
40;0,405465108108164;0,79;0,697084620649459;0,865056304294671;3;4,50;0,50
40;0,182321556793955;0,19;0,118443196132544;0,280697957973613;5;6,00;0,20
40;0,223143551314210;0,34;0,248223501544844;0,441533267750959;5;6,25;0,25
40;0,262364264467491;0,48;0,379005480177959;0,582210234593693;5;6,50;0,30
40;0,300104592450338;0,47;0,369405164194395;0,572418515109955;5;6,75;0,35
40;0,336472236621213;0,58;0,477119195723914;0,678014460645203;5;7,00;0,40
40;0,371563556432483;0,72;0,621332995282733;0,805206372508819;5;7,25;0,45
40;0,405465108108164;0,84;0,753212402589138;0,905689710026054;5;7,50;0,50
80;0,182321556793955;0,43;0,331391016631383;0,532866261675154;2;2,40;0,20
80;0,223143551314210;0,62;0,517460694249193;0,715232523858521;2;2,50;0,25
80;0,262364264467491;0,66;0,558466732249041;0,751776498455156;2;2,60;0,30
80;0,300104592450338;0,77;0,675141267224897;0,848268388698952;2;2,70;0,35
80;0,336472236621213;0,89;0,811698867803557;0,943792979714513;2;2,80;0,40
80;0,371563556432483;0,97;0,914823947025720;0,993770028461694;2;2,90;0,45
80;0,405465108108164;0,99;0,945540614607919;0,999746853967023;2;3,00;0,50
80;0,182321556793954;0,38;0,284767476141479;0,482539305750807;3;3,60;0,20
80;0,223143551314210;0,60;0,497209150422335;0,696705231297122;3;3,75;0,25
80;0,262364264467491;0,80;0,708157310911372;0,873344447898044;3;3,90;0,30
80;0,300104592450338;0,82;0,730522914033188;0,889688770846739;3;4,05;0,35
80;0,336472236621213;0,91;0,836017744970365;0,958016404371608;3;4,20;0,40
80;0,371563556432483;0,93;0,861080271544143;0,971394711092561;3;4,35;0,45
80;0,405465108108164;0,95;0,887165088894537;0,983568120817948;3;4,50;0,50
80;0,182321556793955;0,43;0,331391016631383;0,532866261675154;5;6,00;0,20
80;0,223143551314210;0,58;0,477119195723914;0,678014460645203;5;6,25;0,25
80;0,262364264467491;0,68;0,579233138368377;0,769780083238423;5;6,50;0,30
80;0,300104592450338;0,85;0,764692499851045;0,913545614358351;5;6,75;0,35
80;0,336472236621213;0,91;0,836017744970365;0,958016404371608;5;7,00;0,40
80;0,371563556432483;0,94;0,873970065419177;0,977665113928684;5;7,25;0,45
80;0,405465108108164;0,96;0,900742843287340;0,988995506013812;5;7,50;0,50
170;0,182321556793955;0,65;0,548150638176030;0,742706221468549;2;2,40;0,20
170;0,223143551314210;0,93;0,861080271544143;0,971394711092561;2;2,50;0,25
170;0,262364264467491;0,93;0,861080271544143;0,971394711092561;2;2,60;0,30
170;0,300104592450338;0,98;0,929616067528930;0,997568663176057;2;2,70;0,35
170;0,336472236621213;1,00;0,963783307354824;1,000000000000000;2;2,80;0,40
170;0,371563556432483;1,00;0,963783307354824;1,000000000000000;2;2,90;0,45
170;0,405465108108164;1,00;0,963783307354824;1,000000000000000;2;3,00;0,50
170;0,182321556793954;0,68;0,579233138368377;0,769780083238423;3;3,60;0,20
170;0,223143551314210;0,90;0,823777402259977;0,950995310778514;3;3,75;0,25
170;0,262364264467491;0,91;0,836017744970365;0,958016404371608;3;3,90;0,30
170;0,300104592450338;0,98;0,929616067528930;0,997568663176057;3;4,05;0,35
170;0,336472236621213;1,00;0,963783307354824;1,000000000000000;3;4,20;0,40
170;0,371563556432483;1,00;0,963783307354824;1,000000000000000;3;4,35;0,45
170;0,405465108108164;1,00;0,963783307354824;1,000000000000000;3;4,50;0,50
170;0,182321556793955;0,63;0,527648359448317;0,724433420385449;5;6,00;0,20
170;0,223143551314210;0,89;0,811698867803557;0,943792979714513;5;6,25;0,25
170;0,262364264467491;0,95;0,887165088894537;0,983568120817948;5;6,50;0,30
170;0,300104592450338;0,97;0,914823947025720;0,993770028461694;5;6,75;0,35
170;0,336472236621213;1,00;0,963783307354824;1,000000000000000;5;7,00;0,40
170;0,371563556432483;1,00;0,963783307354824;1,000000000000000;5;7,25;0,45
170;0,405465108108164;1,00;0,963783307354824;1,000000000000000;5;7,50;0,50
